Replace with,Find
bigcity,Philadelphia
bigcity,Pittsburgh
bigcity,Allentown
bigcity,Erie
bigcity,Reading
smalltown,Bethlehem
smalltown,Scranton
smalltown,Lancaster
smalltown,Harrisburg
smalltown,York
smalltown,Altoona
smalltown,Wilkes-Barre
smalltown,Chester
smalltown,Williamsport
smalltown,McCandless
smalltown,Easton
smalltown,Lebanon
smalltown,Hazleton
smalltown,New Castle
smalltown,Johnstown
smalltown,McKeesport
smalltown,Hermitage
smalltown,Bloomsburg
smalltown,Greensburg
smalltown,Washington
smalltown,Pottsville
smalltown,Sharon
smalltown,Coatesville
smalltown,Butler
smalltown,Meadville
smalltown,New Kensington
smalltown,St. Marys
smalltown,Lower Burrell
smalltown,Nanticoke
smalltown,Oil City
smalltown,Uniontown
smalltown,Sunbury
smalltown,Lock Haven
smalltown,Warren
smalltown,Jeannette
smalltown,Aliquippa
smalltown,Du Bois
smalltown,Carbondale
smalltown,Latrobe
smalltown,Beaver Falls
smalltown,Bradford
smalltown,Pittston
smalltown,Connellsville
smalltown,Monessen
smalltown,Shamokin
smalltown,Clairton
smalltown,Corry
smalltown,Franklin
smalltown,Duquesne
smalltown,Titusville
smalltown,Arnold
smalltown,Farrell
smalltown,Monongahela
smalltown,Parker